room_group,avg_house_value
2660,241418.06
3730,241044.55555555556
4490,240930.05
5230,240866.66666666666
7240,240833.33333333334
9530,240500
5380,240316.66666666666
3810,239819.09523809524
4700,239757.14285714287
3240,239543.32432432432
24120,239300
4140,239200
3480,239104
3320,239077.31818181818
5640,239037.5
20350,238900
11660,238800
4620,238172.81818181818
7750,238075
3520,237918.27272727274
8530,237900
2790,237722.4827586207
15350,237700
4270,237426.73333333334
10180,237400
4940,237016.66666666666
2520,236922.10169491524
50,236647.42105263157
15340,236200
3820,236187.54166666666
9020,236166.66666666666
2850,236137.27906976745
3030,235997.0303030303
4100,235646.15384615384
5430,235620.2
3330,235378.84848484848
6350,235357.14285714287
2460,235254
3400,235084.46875
3510,234888
2420,234883.6393442623
2940,234718.8125
3340,234366.69696969696
1800,233785.98591549296
3090,233685.1851851852
16450,233400
2500,233398.20754716982
3230,233220.06666666668
2950,233205.58333333334
5290,233060
5680,233010
11180,232700
3870,232552.73684210525
3050,232439.52631578947
3130,232413.68181818182
6940,232300
7780,231866.66666666666
8730,231733.33333333334
11820,231700
5730,231400
3410,231382.65217391305
3060,231355.2894736842
2890,231267.47826086957
11030,231100
4600,230956.3125
9420,230900
2640,230601.71186440677
4130,230428.57142857142
9770,230400
5460,230277.77777777778
3860,230271.47619047618
2110,230154.76
4980,230050
9480,230050
3880,230029.41176470587
4920,230021.42857142858
4110,229850.05555555556
2200,229726.0684931507
3850,229722.77272727274
2760,229703.0294117647
8050,229700
14930,229700
2040,229621.51428571428
6810,229600.2
5540,229542.85714285713
18390,229200
13560,229200
2580,229146.35185185185
2900,229047.42105263157
26320,228900
13260,228900
2710,228868.10638297873
2700,228607.0701754386
4250,228400.1
11310,228300
4010,228226.66666666666
5920,228180
13180,227950
6880,227933.33333333334
6450,227825.25
3210,227703.64285714287
9280,227600
7030,227575
9510,227500
730,227451.48571428572
2060,227404.59701492538
8300,227300
2820,227180.05
2090,227151.60606060605
4370,227005.88235294117
4170,226985.80952380953
8900,226900
4330,226780
3170,226748.95555555556
5090,226571.42857142858
70,226400.0909090909
6340,226312.625
2530,226234.1489361702
14060,226200
9260,225850
2870,225689.19565217392
2390,225415.8245614035
15650,225200
17340,225200
2400,225020.35135135136
3300,224812.575
2020,224758.47191011236
7520,224733.33333333334
2620,224624.51020408163
4060,224605.88235294117
2840,224434.75510204083
2140,224426.2786885246
4580,224258.33333333334
5780,224200
6670,224150
3710,223842.1052631579
4930,223800
2930,223734.2894736842
5410,223685.7142857143
4530,223511.11111111112
60,223117.76470588235
4780,223040.1
2480,223026.13043478262
6790,222866.66666666666
6850,222850
4800,222650.125
4260,222611.11111111112
14350,222400
4740,222333.5
3110,222313.5
3310,221735.35294117648
3290,221715.05
2600,221605.44642857142
5700,221100
12480,221000
7140,221000
2070,220905.37333333332
7060,220900
2510,220810.8153846154
17980,220800
2720,220778.43333333332
3970,220731.3125
2380,220696.7868852459
6110,220685.7142857143
5800,220675
2690,220629.4705882353
2300,220571.68656716417
2670,220402.14285714287
2990,220357.23214285713
4050,220310.52631578947
4460,220177.83333333334
3070,220148.76923076922
3760,219667.83870967742
2240,219602.77027027027
6090,219516.66666666666
3680,219442.1052631579
3450,219418.22727272726
8870,219366.66666666666
1640,219338.41666666666
3670,218973.11538461538
8400,218940
5030,218914.2857142857
6360,218737.5
5660,218514.2857142857
9500,218500
8110,218500
3040,218402.86111111112
2330,218401.73333333334
1760,218370.16883116882
1360,218180.04444444444
3750,218125.04166666666
6470,217950
2130,217939.52112676058
2270,217857.17460317462
5620,217680
2550,217669.0344827586
3370,217612.04
3430,217557.63636363635
12260,217300
3440,217256.04
4380,217211.76470588235
6460,217200
8650,217050
1980,217008.27397260274
15210,217000
4890,216500.125
11230,216500
5870,216300
2180,216167.25
6150,215950
1600,215901.5909090909
4650,215650
4290,215585.7857142857
20940,215500
1880,215405.25974025973
4410,215404.7619047619
3960,215085.05
10240,215066.66666666666
4670,214733.33333333334
2220,214349.26153846155
6260,214333.5
230,214312.5
14910,213900
17030,213700
9170,213650
3420,213645.97297297296
3740,213442.85714285713
2630,213242.59574468085
2910,213240.0888888889
3360,213128.60714285713
2410,213117.03773584907
1660,213073.60294117648
6710,213042.85714285713
9450,212900
4690,212828.57142857142
4190,212746.66666666666
1970,212683.375
3180,212443.8125
30400,212300
27870,212200
6540,211925
2150,211868.66666666666
780,211732.25
5690,211550
370,211469.3076923077
1950,210742.74666666667
5820,210466.66666666666
8160,210300
2590,210278.0487804878
3890,210272.72727272726
5310,210220
1330,210118.796875
240,210037.6875
7740,209933.33333333334
3640,209528.66666666666
2810,209387.75510204083
1840,209123.23188405798
8560,209050
1820,208734.8651685393
2210,208529.84210526315
2370,208513.59322033898
7160,208000
3250,207568.47368421053
4000,207532.04
6120,207414.2857142857
4220,207300.07692307694
430,207295.2857142857
7800,207125
350,207100.03703703705
6930,206950.25
7070,206950
4030,206845
3080,206569.7906976744
2740,206515.15094339623
5500,206216.66666666666
1100,206202.2888888889
2050,206170.41975308643
3140,206164.9189189189
3500,206150
4830,206016.83333333334
2080,206007.9605263158
6270,205775
2650,205760.46511627908
9610,205733.33333333334
3160,205353
1580,205285.9090909091
5830,205187.5
3720,205156.25
2770,205140.025
1780,205017.1447368421
4660,204766.66666666666
3460,204751.88888888888
2000,204734.9638554217
4180,204661.11111111112
3590,204617.89285714287
11010,204400
2470,204392.59701492538
10190,204200
2860,204088.04
4300,203971.42857142858
4860,203950
1830,203801.45070422534
2320,203782.1607142857
2570,203686.04
3380,203684.04
6800,203400
10220,203400
6420,202800
2260,202674.24193548388
3220,202542.88095238095
7450,202150
5240,201983.33333333334
15020,201800
4500,201681.9090909091
2310,201592.32692307694
5210,201566.66666666666
2920,201308.73913043478
2440,201106.66666666666
30,201008.41666666666
7960,201000
3010,200972.11627906977
5580,200640.2
1350,200451.5
4090,200421.42857142858
2250,200095.61764705883
1860,199955.13043478262
4480,199944.44444444444
5060,199866.66666666666
2780,199845.45454545456
9300,199600
900,199302.91428571427
5970,199300
12990,199300
1930,198838.38356164383
7990,198550
200,198542.95238095237
20910,198500
1990,198480.62686567163
1400,198286.95081967214
2190,198267.7966101695
2350,198056.62264150943
8100,198000
20,197968.75
10340,197900
1300,197804.60606060605
18360,197700
2610,197632.1607142857
9070,197500
4550,197370
2030,197273.7868852459
9650,197200
2750,197198.09615384616
360,197191.75
210,197100.08333333334
1770,197010.15189873418
1920,196624.62295081967
490,196512.5
2360,196342.28169014084
10,196250.25
630,195962.54166666666
2160,195932.3230769231
8510,195550
1540,195365.14285714287
7610,195300
25960,195300
1730,195154.46666666667
1790,195137.90526315788
16430,195100
3270,195058.36111111112
1740,195058.25316455695
10000,195050
10400,194900
3660,194823.36666666667
1380,194817.5625
6960,194750
21110,194600
1310,194560.3650793651
1590,194556.4358974359
5400,194450
1270,194412.54166666666
11980,194400
1810,194353.59523809524
1690,194125.66666666666
830,193936.1914893617
1650,193830.43037974683
440,193815.5
1480,193679.578313253
1680,193530.78205128206
1030,193524.64912280702
1870,193444.95652173914
310,193307.2857142857
9590,193300
1890,193060.32876712328
1710,192882.58139534883
10730,192700
1240,192475.40579710144
5710,192400
12070,192400
9370,192400
1530,192205.62921348316
5960,192000
1620,191996.22784810126
2450,191789.79591836734
11970,191700
2430,191608.35416666666
1720,191597.90217391305
1900,191464.98701298703
520,191425.08333333334
920,191413.18421052632
21990,191100
8370,191100
810,191053.43333333332
7560,191050
10270,191000
5150,190980
1320,190707.5223880597
2010,190669.4193548387
1450,190453.8
1960,190384.87878787878
5930,190366.66666666666
7580,190000
6130,189942.85714285713
8330,189800
1500,189674.7594936709
9800,189600
6910,189540
2230,189396.2405063291
3690,189354.54545454544
9220,189100
1430,189069
6990,189033.33333333334
7400,188950
3920,188768.75
1510,188423.97183098592
2970,188381.13513513515
1470,188320.86458333334
17580,188150
1390,188105.07594936708
1140,188021.83636363636
13410,187900
4200,187782.35294117648
470,187681.25
4020,187660
1420,187550.0357142857
20390,187300
14280,187150
8780,187100
1230,186991.20588235295
6620,186666.66666666666
1570,186627.95588235295
1850,186313.86153846153
560,186183.41666666666
1260,185991.9189189189
540,185675.04166666666
720,185647.86956521738
9810,185600
7640,185550
9760,185166.66666666666
7290,185033.33333333334
1010,185003
1610,184790.06
980,184786.3137254902
260,184730
5900,184550
1340,184173.37333333332
14960,184100
2340,184097.0588235294
480,183966.66666666666
2120,183948.35
6740,183800
8440,183750
650,183620.06666666668
6570,183600
1210,183422.91428571427
1410,183284.64102564103
190,183007.84615384616
13720,183000
6000,182875
450,182757.8947368421
7430,182550
1160,182452.54237288135
5670,182333.33333333334
1250,182252.9411764706
3900,182084.31578947368
2100,182014.0985915493
130,181975
1150,181733.83823529413
1070,181564.16981132075
2680,181529.12727272726
7390,180950
3610,180915.05
2290,180900.01694915254
910,180779.5128205128
7840,180700
6060,180500
4120,180462.5
4210,180420
1520,180369.27692307692
850,180005.58333333334
1460,179929.60563380283
12140,179900
1440,179870.9534883721
9720,179700
90,179637.625
5330,179600
2880,179540.54054054053
7230,179500
14130,179500
5760,179400
1080,179373.9420289855
5020,179246.15384615384
320,179127.83333333334
1670,179059.23684210525
1560,179014.8918918919
7880,178980
4160,178535.35294117648
1630,178515
3470,177991.66666666666
580,177914.33333333334
1940,177885.3088235294
1490,177662.64835164836
770,177446.875
9290,177400
1550,177276.44943820225
6760,176966.66666666666
1750,176966.27272727274
1110,176955.78846153847
6010,176900
5530,176812.5
1280,176419.2564102564
960,175982.07692307694
8580,175650
1290,175562.91428571427
1170,175329.54098360657
880,175122.5
4840,175100
7810,174450
840,174424.1379310345
740,174356.04
30450,174300
5050,173942.85714285713
15700,173900
530,173128.61904761905
140,172673.33333333334
5180,172175
1910,172088.54098360657
410,172037.07407407407
8080,171900
7250,171700
5840,171650
680,171532.25806451612
6820,171350
9970,171300
330,171287.5
1040,171086.38636363635
1190,170624.6811594203
120,170438.88888888888
4640,170433.33333333334
1370,170127.13559322033
7350,169833.33333333334
20260,169600
100,169585
890,169520.45454545456
20210,169300
1050,169072.22222222222
10610,168900
1180,168801.4714285714
420,168793.4
12520,168700
760,168636.8947368421
5120,168633.33333333334
12780,168100
600,168064.35714285713
1090,168012.28070175438
11280,167900
6230,167675
4750,167633.33333333334
9880,167600
7530,167400
1000,167323.68421052632
7040,167200
1060,167144.70212765958
7050,167100
990,167070.85416666666
7220,166700
570,166528.08
7920,166360
870,166203.125
5200,166200
7210,166175
5560,165966.66666666666
970,165911.38636363635
110,165869.23076923078
4590,165830
510,165292
5570,164616.66666666666
1020,164511.92857142858
170,164388.88888888888
80,164225
280,163611.82352941178
5160,163516.66666666666
5610,163471.42857142858
40,163166.73333333334
1220,163161.42105263157
2280,163142.6393442623
10510,162750
7010,162700
1120,162542.3076923077
8020,162500
12400,162200
16010,162200
7910,162150
13320,162100
400,161821.78260869565
700,161778.81818181818
620,161662.45833333334
10800,161400
270,161100.07142857142
800,161075.8620689655
12710,160950
12360,160800
18770,160600
930,160425.62790697673
1700,160117.98876404495
1130,160083.33333333334
690,159873.91304347827
13290,159800
5880,159500
19110,158500
7630,158333.33333333334
12110,158100
10860,157866.66666666666
12690,157700
11640,157600
9850,157600
500,157337.07407407407
8360,157200
6890,157150
9310,156900
9890,156900
5370,156700
860,156242.24444444446
390,155756.25
6050,155750
9490,155350
10670,155000
9910,154000
39320,153700
12340,153500
950,153402.19565217392
6320,153200
14630,153100
19230,152800
5860,152750
590,152490
660,152452.38095238095
6520,152100
710,152019.44444444444
1200,151854.56818181818
220,151820
7320,151700
150,151700
6660,151625
5000,151440
10660,151300
21900,151300
9000,151100
790,150864.44444444444
9090,150400
11540,150400
8350,150150
290,150130
13810,150000
12160,149200
8480,149133.33333333334
8790,148900
5770,148825
7720,148650
7570,148100
4820,147740
12870,147300
12320,146900
14420,145900
10230,145200
9740,144800
23390,144000
5910,143700
6830,143400
21060,143000
11770,142900
750,142737.5
820,142735.29411764705
8630,142700
670,142457.8947368421
5980,142425
6410,142000
13200,142000
11590,141900
16180,141800
610,141647.86956521738
940,141418.18181818182
10100,141300
10360,141100
10570,141000
10430,140800
8420,140200
5270,139733.33333333334
180,139450
13100,138700
20380,138100
13670,137900
6550,137900
6860,137725
0,137500
8140,137100
11780,136600
9600,136250
340,136104.34782608695
5340,135750
160,135560
640,134942.85714285713
380,134554.5909090909
16680,134500
11840,134500
25140,134400
13800,134100
6400,133433.33333333334
9270,133200
10260,132750
13550,132700
18960,132600
10150,132600
9900,131950
12470,131900
16880,130900
20980,130600
7150,129700
15310,129700
8520,129600
14410,129600
7690,129300
12200,129300
8490,127800
5360,127300
11650,127200
300,126446.66666666667
6070,126150
460,124031.57894736843
10890,123400
11390,123200
16530,122100
15400,121900
7950,120100
10070,119500
9210,119400
12530,119200
32630,118800
6380,117800
8190,116350
16240,116300
6440,115900
550,115014.28571428571
8470,113700
10350,113100
9830,112600
7090,112550
10080,110900
7940,109300
8540,108900
7650,108633.33333333333
10040,108300
9980,107400
11610,106300
9400,105800
8500,104900
11830,103800
8570,103400
17290,103400
13710,100100
9030,97850
16150,97800
11810,95600
11000,95300
8740,94050
8410,92500
9050,92200
7900,90400
10820,88200
10870,81300
8600,80900
8610,79700
12560,78500
11120,74400
9350,69900
10380,66800
9440,65600
17740,28300
